 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date:  30. 5.    Time:  12: 0:52
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
     5386  0.2559900E+03  0.15483E+00    5    21377     4     1     T
     5412  0.2569900E+03  0.88123E-01    4    21449     4     1     T
     5441  0.2579900E+03  0.65380E-01    4    21532     4     1     T
     5467  0.2589900E+03  0.16417E+00    4    21604     4     1     T
     5493  0.2599900E+03  0.88123E-01    2    21672     4     1     T
     5517  0.2609900E+03  0.12337E+00    4    21731     4     1     T
     5541  0.2619900E+03  0.15255E+00    2    21782     4     1     T
     5564  0.2629900E+03  0.16450E+00    2    21828     4     1     T
     5587  0.2639900E+03  0.16450E+00    3    21876     4     1     T
     5666  0.2649900E+03  0.26999E-01    5    22208    -4     1     T
     5704  0.2659900E+03  0.53547E-01    5    22337    -4     1     T
     5748  0.2669900E+03  0.49540E-01    4    22590     4     1     T
     5855  0.2679900E+03  0.18856E-01    5    23065    -4     1     T
     5912  0.2689900E+03  0.36074E-01    3    23288    -4     1     T
     5956  0.2699900E+03  0.31984E-01    2    23552     4     1     T
     5981  0.2709900E+03  0.11442E+00    4    23620     4     1     T
     6004  0.2719900E+03  0.16450E+00    4    23676     4     1     T
     6027  0.2729900E+03  0.16450E+00    3    23726     4     1     T
     6050  0.2739900E+03  0.16450E+00    3    23777     4     1     T
     6073  0.2749900E+03  0.16450E+00    2    23824     4     1     T
     6096  0.2759900E+03  0.16450E+00    2    23870     4     1     T
     6119  0.2769900E+03  0.16450E+00    2    23916     4     1     T
     6142  0.2779900E+03  0.16450E+00    2    23963     4     1     T
     6165  0.2789900E+03  0.16450E+00    2    24009     4     1     T
     6188  0.2799900E+03  0.16450E+00    3    24057     4     1     T
     6192  0.2809900E+03  0.37125E+00    4    24070     4     1     T
     6195  0.2819900E+03  0.49500E+00    4    24079     4     1     T
     6218  0.2829900E+03  0.16450E+00    2    24126     4     1     T
     6241  0.2839900E+03  0.16450E+00    3    24173     4     1     T
     6246  0.2849900E+03  0.24750E+00    3    24188     4     1     T
     6269  0.2859900E+03  0.16450E+00    2    24234     4     1     T
     6419  0.2869900E+03  0.11192E-01    4    24981    -4     1     T
     6501  0.2879900E+03  0.13826E-01    5    25346    -4     1     T
     6570  0.2889900E+03  0.31282E-01    4    25625    -4     1     T
     6589  0.2899900E+03  0.98288E-01    4    25696    -4     1     T
     6612  0.2909900E+03  0.16450E+00    2    25748    -4     1     T
     6674  0.2919900E+03  0.37858E-01    4    25976    -4     1     T
     6708  0.2929900E+03  0.85862E-01    3    26082    -4     1     T
     6743  0.2939900E+03  0.10672E+00    4    26192    -4     1     T
     6772  0.2949900E+03  0.11039E+00    3    26285    -4     1     T
     6779  0.2959900E+03  0.16971E+00    2    26305    -4     1     T
     6802  0.2969900E+03  0.16450E+00    2    26353    -4     1     T
     6825  0.2979900E+03  0.16450E+00    4    26401    -4     1     T
     6829  0.2989900E+03  0.37125E+00    2    26411    -4     1     T
     6852  0.2999900E+03  0.16450E+00    2    26458    -4     1     T
     6875  0.3009900E+03  0.16450E+00    3    26510    -4     1     T
     6881  0.3019900E+03  0.18562E+00    5    26537    -4     1     T
     6904  0.3029900E+03  0.28199E+00    4    26596    -4     1     T
     6927  0.3039900E+03  0.16450E+00    3    26647    -4     1     T
     6950  0.3049900E+03  0.16450E+00    2    26693    -4     1     T
     6973  0.3059900E+03  0.16450E+00    2    26741    -4     1     T
     6996  0.3069900E+03  0.24675E+00    4    26793    -4     1     T
     7019  0.3079900E+03  0.16450E+00    3    26847    -4     1     T
     7043  0.3089900E+03  0.14593E+00    3    26906    -4     1     T
     7151  0.3099900E+03  0.31850E-01    4    27360    -4     1     T
     7191  0.3109900E+03  0.72817E-01    3    27494    -4     1     T
     7215  0.3119900E+03  0.12337E+00    2    27548    -4     1     T
     7238  0.3129900E+03  0.16450E+00    2    27594    -4     1     T
     7261  0.3139900E+03  0.16450E+00    2    27640    -4     1     T
     7284  0.3149900E+03  0.16450E+00    2    27687    -4     1     T
     7307  0.3159900E+03  0.16450E+00    2    27733    -4     1     T
     7330  0.3169900E+03  0.16450E+00    2    27779    -4     1     T
     7335  0.3179900E+03  0.24750E+00    2    27796    -4     1     T
     7339  0.3189900E+03  0.33000E+00    2    27808    -4     1     T
     7407  0.3199900E+03  0.37674E-01    4    28059    -4     1     T
     7443  0.3209900E+03  0.93813E-01    3    28174    -4     1     T
     7466  0.3219900E+03  0.16450E+00    4    28227    -4     1     T
     7489  0.3229900E+03  0.16450E+00    2    28274    -4     1     T
     7512  0.3239900E+03  0.16450E+00    2    28320    -4     1     T
     7535  0.3249900E+03  0.16450E+00    2    28366    -4     1     T
     7558  0.3259900E+03  0.16450E+00    2    28412    -4     1     T
     7581  0.3269900E+03  0.16450E+00    2    28458    -4     1     T
     7631  0.3279900E+03  0.72347E-01    5    28632    -4     1     T
     7663  0.3289900E+03  0.14009E+00    4    28736    -4     1     T
     7686  0.3299900E+03  0.16450E+00    2    28783    -4     1     T
     7709  0.3309900E+03  0.16450E+00    2    28829    -4     1     T
     7732  0.3319900E+03  0.16450E+00    2    28875    -4     1     T
     7755  0.3329900E+03  0.16450E+00    2    28921    -4     1     T
     7778  0.3339900E+03  0.16450E+00    2    28969    -4     1     T
     7801  0.3349900E+03  0.16450E+00    2    29015    -4     1     T
     7824  0.3359900E+03  0.16450E+00    2    29061    -4     1     T
     7847  0.3369900E+03  0.16450E+00    2    29107    -4     1     T
     7851  0.3379900E+03  0.37125E+00    2    29115    -4     1     T
     7874  0.3389900E+03  0.16450E+00    2    29161    -4     1     T
     7879  0.3399900E+03  0.24750E+00    2    29175    -4     1     T
     7902  0.3409900E+03  0.16450E+00    2    29221    -4     1     T
     7925  0.3419900E+03  0.16450E+00    2    29267    -4     1     T
     7948  0.3429900E+03  0.16450E+00    2    29313    -4     1     T
     7971  0.3439900E+03  0.16450E+00    2    29360    -4     1     T
     7999  0.3449900E+03  0.11293E+00    3    29430    -4     1     T
     8061  0.3459900E+03  0.74884E-01    5    29658    -4     1     T
     8099  0.3469900E+03  0.91355E-01    4    29779    -4     1     T
     8122  0.3479900E+03  0.16450E+00    2    29830    -4     1     T
     8145  0.3489900E+03  0.16450E+00    2    29876    -4     1     T
     8150  0.3499900E+03  0.24750E+00    3    29892    -4     1     T
     8173  0.3509900E+03  0.16450E+00    2    29938    -4     1     T
     8216  0.3519900E+03  0.76213E-01    4    30086    -4     1     T
     8250  0.3529900E+03  0.80180E-01    4    30189    -4     1     T
     8278  0.3539900E+03  0.95830E-01    4    30268    -4     1     T
     8322  0.3549900E+03  0.53478E-01    3    30422    -4     1     T
     8369  0.3559900E+03  0.50698E-01    4    30596    -4     1     T
     8385  0.3569900E+03  0.65729E-01    4    30658    -4     1     T
     8427  0.3579900E+03  0.68947E-01    4    30804    -4     1     T
     8456  0.3589900E+03  0.80361E-01    4    30892    -4     1     T
     8482  0.3599900E+03  0.11000E+00    4    30959    -4     1     T
     8490  0.3609900E+03  0.14143E+00    4    30989    -4     1     T
     8496  0.3619900E+03  0.19800E+00    4    31011    -4     1     T
     8501  0.3629900E+03  0.24750E+00    4    31030    -4     1     T
     8524  0.3639900E+03  0.16450E+00    3    31077    -4     1     T
     8529  0.3649900E+03  0.24750E+00    3    31095    -4     1     T
     8530  0.3650000E+03  0.10000E-01    2    31097    -4     1     T
     8552  0.3659900E+03  0.16450E+00    3    31142    -4     1     T
     8581  0.3669900E+03  0.91262E-01    2    31228    -4     1     T
     8606  0.3679900E+03  0.12313E+00    4    31290    -4     1     T
     8633  0.3689900E+03  0.27397E+00    4    31361    -4     1     T
     8656  0.3699900E+03  0.16450E+00    2    31407    -4     1     T
     8679  0.3709900E+03  0.16450E+00    2    31454    -4     1     T
     8702  0.3719900E+03  0.16450E+00    2    31501    -4     1     T
     8749  0.3729900E+03  0.53570E-01    4    31666    -4     1     T
     8794  0.3739900E+03  0.61056E-01    4    31817    -4     1     T
     8829  0.3749900E+03  0.10547E+00    4    31925    -4     1     T
